leftpic, middlepic, rightpic, steering angle, break, throttle, speedmph, battery temp, battery %
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_15_486.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_15_486.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_15_486.jpg,0,0,0,4.525283E-05,24.97,99.99,0.5900000333786011
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_15_566.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_15_566.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_15_566.jpg,0,0,0,5.011927E-05,24.97,99.99,0.6299999952316284
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_15_648.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_15_648.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_15_648.jpg,0,0,0,8.641114E-05,24.96,99.99,0.6710000038146973
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_15_729.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_15_729.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_15_729.jpg,0,0,0,8.004127E-05,24.96,99.99,0.7115000486373901
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_15_810.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_15_810.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_15_810.jpg,0,0,0,9.34455E-05,24.96,99.99,0.7519999742507935
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_15_877.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_15_877.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_15_877.jpg,0,0,0,3.984682E-05,24.95,99.99,0.7855000495910645
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_15_960.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_15_960.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_15_960.jpg,0,0,0,0.000137157,24.95,99.99,0.8270000219345093
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_16_032.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_16_032.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_16_032.jpg,0,0,0,0.0001510962,24.95,99.99,0.8
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_16_106.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_16_106.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_16_106.jpg,0,0,0,0.0002397192,24.94,99.99,0.8369999408721924
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_16_181.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_16_181.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_16_181.jpg,0,0,0,3.706193E-05,24.94,99.99,0.8
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_16_255.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_16_255.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_16_255.jpg,0,0,0,3.045769E-05,24.94,99.99,0.837000060081482
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_16_331.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_16_331.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_16_331.jpg,0,0,0,5.736306E-05,24.94,99.99,0.8
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_16_405.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_16_405.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_16_405.jpg,0,0,0,1.007786E-05,24.93,99.99,0.8369999408721924
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_16_480.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_16_480.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_16_480.jpg,0,0,0,5.056751E-06,24.93,99.99,0.8
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_16_551.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_16_551.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_16_551.jpg,0,0,0,0.0001001315,24.93,99.99,0.8355000495910645
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_16_624.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_16_624.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_16_624.jpg,0,0,0,0.0001154341,24.92,99.99,0.8
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_16_700.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_16_700.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_16_700.jpg,0,0,0,0.0001358269,24.92,99.99,0.8379999876022339
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_16_773.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_16_773.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_16_773.jpg,0,0,0,0.0002011981,24.92,99.99,0.8015000104904175
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_16_845.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_16_845.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_16_845.jpg,0,0,0,4.564167E-05,24.91,99.99,0.837500023841858
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_16_921.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_16_921.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_16_921.jpg,0,0,0,3.340834E-05,24.91,99.99,0.8
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_16_996.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_16_996.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_16_996.jpg,0,0,0,3.824429E-05,24.91,99.99,0.837500023841858
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_17_070.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_17_070.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_17_070.jpg,0,0,0,6.121913E-05,24.90,99.99,0.8005000829696656
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_17_148.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_17_148.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_17_148.jpg,0,0,0,2.373057E-06,24.90,99.99,0.839500117301941
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_17_222.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_17_222.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_17_222.jpg,0,0,0,6.228455E-06,24.90,99.99,0.8025001764297486
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_17_303.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_17_303.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_17_303.jpg,0,0,0,0.0001111098,24.89,99.99,0.8430002212524415
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_17_380.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_17_380.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_17_380.jpg,0,0,0,0.0001198923,24.89,99.99,0.804500150680542
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_17_456.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_17_456.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_17_456.jpg,0,0,0,0.0002173644,24.89,99.99,0.8425001382827759
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_17_531.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_17_531.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_17_531.jpg,0,0,0,3.160433E-05,24.88,99.99,0.8050002336502076
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_17_620.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_17_620.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_17_620.jpg,0,0,0,4.013033E-05,24.88,99.99,0.8495002269744873
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_17_693.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_17_693.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_17_693.jpg,0,0,0,4.814635E-05,24.88,99.99,0.8130001306533814
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_17_772.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_17_772.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_17_772.jpg,0,0,0,6.826578E-05,24.87,99.99,0.8525001287460328
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_17_850.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_17_850.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_17_850.jpg,0,0,0,8.223487E-05,24.87,99.99,0.8135002136230469
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_17_924.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_17_924.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_17_924.jpg,0,0,0,9.75369E-05,24.87,99.99,0.8505002737045289
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_18_000.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_18_000.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_18_000.jpg,0,0,0,0.0001271772,24.86,99.99,0.812500286102295
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_18_074.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_18_074.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_18_074.jpg,0,0,0,0.0001456738,24.86,99.99,0.8495002269744873
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_18_150.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_18_150.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_18_150.jpg,0,0,0,0.000201132,24.86,99.99,0.8115001201629639
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_18_223.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_18_223.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_18_223.jpg,0,0,0,0.0002623067,24.85,99.99,0.8480000972747803
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_18_296.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_18_296.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_18_296.jpg,0,0,0,4.458198E-05,24.85,99.99,0.8115001201629639
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_18_371.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_18_371.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_18_371.jpg,0,0,0,4.565987E-05,24.85,99.99,0.8490001440048218
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_18_449.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_18_449.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_18_449.jpg,0,0,0,6.524501E-05,24.84,99.99,0.810000228881836
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_18_526.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_18_526.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_18_526.jpg,0,0,0,4.331464E-06,24.84,99.99,0.8485002994537354
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_18_599.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_18_599.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_18_599.jpg,0,0,0,9.148335E-05,24.84,99.99,0.812000322341919
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_18_678.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_18_678.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_18_678.jpg,0,0.5478055,0,0.2133216,24.83,99.99,0.8515003204345704
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_18_745.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_18_745.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_18_745.jpg,0,1,0,1.029985,24.83,99.99,0.8180003643035889
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_18_830.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_18_830.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_18_830.jpg,0,1,0,2.384834,24.83,99.99,0.8605003833770752
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_18_909.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_18_909.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_18_909.jpg,0,1,0,3.463925,24.83,99.99,0.8210003852844239
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_18_987.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_18_987.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_18_987.jpg,0,1,0,4.539236,24.82,99.99,0.8600004196166993
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_19_068.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_19_068.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_19_068.jpg,0,1,0,5.610732,24.82,99.99,0.8195003747940064
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_19_144.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_19_144.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_19_144.jpg,0,1,0,6.411462,24.82,99.99,0.8575003623962403
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_19_223.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_19_223.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_19_223.jpg,0,1,0,7.475445,24.81,99.99,0.8180003643035889
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_19_300.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_19_300.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_19_300.jpg,0,1,0,8.535579,24.81,99.99,0.8565003156661988
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_19_371.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_19_371.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_19_371.jpg,0,1,0,9.671167,24.81,99.99,0.8210002660751343
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_19_446.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_19_446.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_19_446.jpg,0,1,0,10.64413,24.80,99.99,0.8585002899169922
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_19_530.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_19_530.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_19_530.jpg,0,1,0,11.56113,24.80,99.99,0.8165003538131714
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_19_612.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_19_612.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_19_612.jpg,0,1,0,11.92854,24.80,99.99,0.8575003623962403
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_19_697.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_19_697.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_19_697.jpg,0,1,0,12.75366,24.79,99.99,0.815000343322754
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_19_775.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_19_775.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_19_775.jpg,0,1,0,13.1454,24.79,99.99,0.8540003776550293
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_19_861.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_19_861.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_19_861.jpg,0,1,0,14.22307,24.79,99.99,0.811000394821167
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_19_941.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_19_941.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_19_941.jpg,0,1,0,15.13293,24.79,99.99,0.8510003566741944
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_20_028.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_20_028.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_20_028.jpg,0,1,0,16.34429,24.78,99.99,0.8075002908706665
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_20_103.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_20_103.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_20_103.jpg,0,1,0,17.39057,24.78,99.99,0.8450001955032349
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_20_189.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_20_189.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_20_189.jpg,0,1,0,19.06758,24.78,99.99,0.8020002126693726
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_20_264.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_20_264.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_20_264.jpg,0,1,0,20.21148,24.78,99.99,0.8395002365112305
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_20_331.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_20_331.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_20_331.jpg,0,1,0,21.84117,24.78,99.99,0.8060001611709595
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_20_406.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_20_406.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_20_406.jpg,0,1,0,23.57567,24.78,99.99,0.8435000658035279
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_20_483.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_20_483.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_20_483.jpg,0,1,0,24.87577,24.78,99.98,0.8049999952316285
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_20_562.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_20_562.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_20_562.jpg,0,1,0,26.59678,24.78,99.98,0.8444999933242798
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_20_634.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_20_634.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_20_634.jpg,0,1,0,28.30487,24.78,99.98,0.8084999799728394
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_20_706.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_20_706.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_20_706.jpg,0,1,0,29.99855,24.78,99.98,0.8444999933242798
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_20_776.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_20_776.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_20_776.jpg,0,1,0,31.26023,24.78,99.98,0.8095000267028809
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_20_847.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_20_847.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_20_847.jpg,0,1,0,32.93087,24.78,99.98,0.8449999570846558
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_20_921.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_20_921.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_20_921.jpg,0,1,0,34.17494,24.78,99.98,0.8079998970031739
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_20_995.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_20_995.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_20_995.jpg,0,1,0,35.82256,24.79,99.98,0.8449998378753663
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_21_069.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_21_069.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_21_069.jpg,0,1,0,37.4567,24.79,99.98,0.8079997777938843
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_21_142.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_21_142.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_21_142.jpg,0,1,0,38.6735,24.79,99.97,0.8444997549057007
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_21_215.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_21_215.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_21_215.jpg,0,1,0,40.28511,24.80,99.97,0.8079997777938843
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_21_287.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_21_287.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_21_287.jpg,0.214782,1,0,41.85051,24.81,99.97,0.8439997911453248
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_21_359.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_21_359.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_21_359.jpg,0.2303801,1,0,42.99538,24.81,99.97,0.8079997777938843
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_21_430.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_21_430.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_21_430.jpg,0,0,0,42.88991,24.80,99.97,0.8434998273849488
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_21_500.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_21_500.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_21_500.jpg,0,0,0,41.59618,24.80,99.97,0.8084998607635498
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_21_578.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_21_578.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_21_578.jpg,0,0,0,41.25674,24.80,99.97,0.8474998950958252
